Iowa, Heating Degree Days, October
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189510,633,207
189610,566,140
189710,309,-117
189810,565,139
189910,301,-125
190010,234,-192
190110,378,-48
190210,396,-30
190310,436,10
190410,413,-13
190510,509,83
190610,476,50
190710,500,74
190810,460,34
190910,518,92
191010,352,-74
191110,534,108
191210,431,5
191310,511,85
191410,322,-104
191510,373,-53
191610,464,38
191710,718,292
191810,347,-79
191910,461,35
192010,278,-148
192110,375,-51
192210,329,-97
192310,543,117
192410,280,-146
192510,796,370
192610,468,42
192710,344,-82
192810,373,-53
192910,450,24
193010,481,55
193110,301,-125
193210,510,84
193310,501,75
193410,317,-109
193510,470,44
193610,474,48
193710,494,68
193810,246,-180
193910,398,-28
194010,292,-134
194110,374,-52
194210,420,-6
194310,460,34
194410,401,-25
194510,456,30
194610,334,-92
194710,197,-229
194810,464,38
194910,342,-84
195010,282,-144
195110,440,14
195210,590,164
195310,277,-149
195410,452,26
195510,413,-13
195610,252,-174
195710,515,89
195810,356,-70
195910,551,125
196010,427,1
196110,379,-47
196210,361,-65
196310,167,-259
196410,480,54
196510,393,-33
196610,439,13
196710,482,56
196810,397,-29
196910,527,101
197010,439,13
197110,271,-155
197210,542,116
197310,289,-137
197410,415,-11
197510,357,-69
197610,604,178
197710,482,56
197810,473,47
197910,430,4
198010,532,106
198110,498,72
198210,403,-23
198310,434,8
198410,395,-31
198510,444,18
198610,426,0
198710,579,153
198810,593,167
198910,401,-25
199010,454,28
199110,469,43
199210,450,24
199310,486,60
199410,361,-65
199510,442,16
199610,416,-10
199710,407,-19
199810,380,-46
199910,439,13
200010,323,-103
200110,463,37
200210,570,144
200310,403,-23
200410,413,-13
200510,389,-37
200610,529,103
200710,294,-132
200810,445,19
200910,611,185
201010,355,-71
201110,370,-56
201210,500,74
201310,446,20
201410,441,15
201510,381,-45
