Kansas, Heating Degree Days, July
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189507,6,4
189607,3,1
189707,0,-2
189807,3,1
189907,5,3
190007,3,1
190107,0,-2
190207,4,2
190307,1,-1
190407,7,5
190507,9,7
190607,12,10
190707,0,-2
190807,6,4
190907,3,1
191007,1,-1
191107,0,-2
191207,0,-2
191307,0,-2
191407,0,-2
191507,10,8
191607,0,-2
191707,0,-2
191807,1,-1
191907,0,-2
192007,4,2
192107,0,-2
192207,5,3
192307,0,-2
192407,8,6
192507,0,-2
192607,0,-2
192707,4,2
192807,3,1
192907,0,-2
193007,0,-2
193107,0,-2
193207,0,-2
193307,0,-2
193407,0,-2
193507,0,-2
193607,0,-2
193707,0,-2
193807,0,-2
193907,0,-2
194007,0,-2
194107,0,-2
194207,0,-2
194307,0,-2
194407,3,1
194507,4,2
194607,0,-2
194707,4,2
194807,3,1
194907,0,-2
195007,18,16
195107,6,4
195207,0,-2
195307,0,-2
195407,0,-2
195507,0,-2
195607,0,-2
195707,0,-2
195807,5,3
195907,7,5
196007,5,3
196107,3,1
196207,4,2
196307,0,-2
196407,0,-2
196507,1,-1
196607,0,-2
196707,8,6
196807,3,1
196907,0,-2
197007,0,-2
197107,7,5
197207,5,3
197307,1,-1
197407,0,-2
197507,0,-2
197607,0,-2
197707,0,-2
197807,0,-2
197907,3,1
198007,0,-2
198107,0,-2
198207,0,-2
198307,0,-2
198407,3,1
198507,0,-2
198607,0,-2
198707,0,-2
198807,3,1
198907,2,0
199007,1,-1
199107,0,-2
199207,5,3
199307,1,-1
199407,5,3
199507,0,-2
199607,4,2
199707,0,-2
199807,0,-2
199907,0,-2
200007,0,-2
200107,0,-2
200207,0,-2
200307,0,-2
200407,7,5
200507,0,-2
200607,0,-2
200707,1,-1
200807,1,-1
200907,9,7
201007,0,-2
201107,0,-2
201207,0,-2
201307,4,2
201407,8,6
201507,1,-1
