Kentucky, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,690,66
189603,820,196
189703,546,-78
189803,501,-123
189903,694,70
190003,745,121
190103,609,-15
190203,603,-21
190303,446,-178
190403,601,-23
190503,477,-147
190603,855,231
190703,391,-233
190803,479,-145
190903,671,47
191003,389,-235
191103,632,8
191203,783,159
191303,626,2
191403,759,135
191503,880,256
191603,712,88
191703,647,23
191803,478,-146
191903,592,-32
192003,628,4
192103,342,-282
192203,547,-77
192303,652,28
192403,775,151
192503,552,-72
192603,828,204
192703,577,-47
192803,667,43
192903,472,-152
193003,688,64
193103,784,160
193203,800,176
193303,644,20
193403,712,88
193503,414,-210
193603,508,-116
193703,758,134
193803,436,-188
193903,548,-76
194003,701,77
194103,804,180
194203,568,-56
194303,733,109
194403,665,41
194503,348,-276
194603,355,-269
194703,883,259
194803,519,-105
194903,643,19
195003,720,96
195103,675,51
195203,650,26
195303,558,-66
195403,675,51
195503,575,-49
195603,633,9
195703,665,41
195803,804,180
195903,689,65
196003,1071,447
196103,537,-87
196203,731,107
196303,501,-123
196403,625,1
196503,804,180
196603,601,-23
196703,490,-134
196803,621,-3
196903,843,219
197003,720,96
197103,745,121
197203,658,34
197303,404,-220
197403,493,-131
197503,725,101
197603,454,-170
197703,487,-137
197803,751,127
197903,554,-70
198003,745,121
198103,699,75
198203,553,-71
198303,600,-24
198403,754,130
198503,521,-103
198603,575,-49
198703,550,-74
198803,619,-5
198903,547,-77
199003,503,-121
199103,534,-90
199203,606,-18
199303,712,88
199403,639,15
199503,531,-93
199603,779,155
199703,531,-93
199803,584,-40
199903,730,106
200003,483,-141
200103,737,113
200203,614,-10
200303,522,-102
200403,508,-116
200503,707,83
200603,599,-25
200703,397,-227
200803,625,1
200903,538,-86
201003,582,-42
201103,542,-82
201203,280,-344
201303,799,175
201403,734,110
201503,644,20
