Massachusetts, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,235,-51
189605,194,-92
189705,284,-2
189805,328,42
189905,283,-3
190005,359,73
190105,345,59
190205,301,15
190305,236,-50
190405,200,-86
190505,296,10
190605,285,-1
190705,451,165
190805,244,-42
190905,341,55
191005,317,31
191105,167,-119
191205,267,-19
191305,359,73
191405,240,-46
191505,358,72
191605,298,12
191705,525,239
191805,159,-127
191905,265,-21
192005,378,92
192105,291,5
192205,210,-76
192305,319,33
192405,387,101
192505,352,66
192605,353,67
192705,376,90
192805,360,74
192905,265,-21
193005,235,-51
193105,248,-38
193205,265,-21
193305,208,-78
193405,216,-70
193505,353,67
193605,214,-72
193705,249,-37
193805,346,60
193905,287,1
194005,314,28
194105,245,-41
194205,184,-102
194305,278,-8
194405,147,-139
194505,363,77
194605,308,22
194705,312,26
194805,343,57
194905,248,-38
195005,328,42
195105,263,-23
195205,326,40
195305,240,-46
195405,343,57
195505,195,-91
195605,401,115
195705,260,-26
195805,365,79
195905,189,-97
196005,236,-50
196105,344,58
196205,322,36
196305,293,7
196405,203,-83
196505,213,-73
196605,357,71
196705,480,194
196805,342,56
196905,298,12
197005,237,-49
197105,329,43
197205,289,3
197305,319,33
197405,359,73
197505,181,-105
197605,289,3
197705,214,-72
197805,271,-15
197905,202,-84
198005,261,-25
198105,240,-46
198205,252,-34
198305,328,42
198405,305,19
198505,248,-38
198605,240,-46
198705,261,-25
198805,271,-15
198905,231,-55
199005,358,72
199105,142,-144
199205,313,27
199305,223,-63
199405,312,26
199505,321,35
199605,304,18
199705,355,69
199805,183,-103
199905,236,-50
200005,268,-18
200105,222,-64
200205,307,21
200305,335,49
200405,213,-73
200505,417,131
200605,273,-13
200705,211,-75
200805,322,36
200905,243,-43
201005,157,-129
201105,213,-73
201205,163,-123
201305,226,-60
201405,239,-47
201505,132,-154
