Massachusetts, Heating Degree Days, November
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189511,715,-32
189611,671,-76
189711,819,72
189811,808,61
189911,819,72
190011,732,-15
190111,952,205
190211,672,-75
190311,880,133
190411,939,192
190511,842,95
190611,814,67
190711,792,45
190811,798,51
190911,689,-58
191011,856,109
191111,831,84
191211,744,-3
191311,699,-48
191411,811,64
191511,739,-8
191611,811,64
191711,915,168
191811,751,4
191911,784,37
192011,844,97
192111,831,84
192211,784,37
192311,772,25
192411,760,13
192511,797,50
192611,761,14
192711,621,-126
192811,751,4
192911,761,14
193011,748,1
193111,611,-136
193211,806,59
193311,922,175
193411,683,-64
193511,661,-86
193611,884,137
193711,762,15
193811,687,-60
193911,855,108
194011,780,33
194111,654,-93
194211,761,14
194311,777,30
194411,765,18
194511,712,-35
194611,641,-106
194711,840,93
194811,592,-155
194911,775,28
195011,641,-106
195111,812,65
195211,722,-25
195311,640,-107
195411,729,-18
195511,799,52
195611,704,-43
195711,658,-89
195811,699,-48
195911,728,-19
196011,670,-77
196111,716,-31
196211,817,70
196311,621,-126
196411,719,-28
196511,802,55
196611,652,-95
196711,858,111
196811,784,37
196911,726,-21
197011,691,-56
197111,806,59
197211,825,78
197311,726,-21
197411,717,-30
197511,581,-166
197611,858,111
197711,659,-88
197811,748,1
197911,591,-156
198011,817,70
198111,737,-10
198211,616,-131
198311,675,-72
198411,715,-32
198511,671,-76
198611,801,54
198711,746,-1
198811,682,-65
198911,754,7
199011,649,-98
199111,690,-57
199211,771,24
199311,715,-32
199411,595,-152
199511,812,65
199611,838,91
199711,790,43
199811,715,-32
199911,582,-165
200011,723,-24
200111,594,-153
200211,754,7
200311,644,-103
200411,711,-36
200511,653,-94
200611,554,-193
200711,764,17
200811,731,-16
200911,566,-181
201011,694,-53
201111,561,-186
201211,750,3
201311,756,9
201411,757,10
201511,586,-161
