Maine, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,343,-67
189605,400,-10
189705,438,28
189805,419,9
189905,430,20
190005,539,129
190105,429,19
190205,466,56
190305,387,-23
190405,309,-101
190505,451,41
190605,492,82
190705,576,166
190805,388,-22
190905,478,68
191005,447,37
191105,262,-148
191205,405,-5
191305,524,114
191405,360,-50
191505,467,57
191605,426,16
191705,622,212
191805,294,-116
191905,404,-6
192005,453,43
192105,360,-50
192205,359,-51
192305,446,36
192405,495,85
192505,498,88
192605,515,105
192705,537,127
192805,467,57
192905,398,-12
193005,379,-31
193105,371,-39
193205,382,-28
193305,388,-22
193405,342,-68
193505,476,66
193605,380,-30
193705,336,-74
193805,454,44
193905,439,29
194005,396,-14
194105,372,-38
194205,308,-102
194305,407,-3
194405,293,-117
194505,504,94
194605,417,7
194705,463,53
194805,488,78
194905,372,-38
195005,381,-29
195105,376,-34
195205,460,50
195305,371,-39
195405,464,54
195505,323,-87
195605,563,153
195705,372,-38
195805,484,74
195905,303,-107
196005,288,-122
196105,460,50
196205,452,42
196305,421,11
196405,331,-79
196505,385,-25
196605,468,58
196705,595,185
196805,448,38
196905,426,16
197005,363,-47
197105,394,-16
197205,379,-31
197305,476,66
197405,534,124
197505,311,-99
197605,398,-12
197705,335,-75
197805,333,-77
197905,342,-68
198005,383,-27
198105,321,-89
198205,368,-42
198305,444,34
198405,417,7
198505,397,-13
198605,382,-28
198705,378,-32
198805,342,-68
198905,302,-108
199005,451,41
199105,289,-121
199205,403,-7
199305,362,-48
199405,446,36
199505,427,17
199605,449,39
199705,500,90
199805,253,-157
199905,291,-119
200005,432,22
200105,313,-97
200205,444,34
200305,435,25
200405,363,-47
200505,521,111
200605,334,-76
200705,370,-40
200805,399,-11
200905,371,-39
201005,276,-134
201105,363,-47
201205,309,-101
201305,370,-40
201405,377,-33
201505,259,-151
