Maine, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,85,-55
189606,157,17
189706,267,127
189806,162,22
189906,125,-15
190006,108,-32
190106,112,-28
190206,244,104
190306,252,112
190406,189,49
190506,217,77
190606,170,30
190706,189,49
190806,101,-39
190906,134,-6
191006,194,54
191106,156,16
191206,209,69
191306,187,47
191406,204,64
191506,177,37
191606,205,65
191706,200,60
191806,243,103
191906,93,-47
192006,139,-1
192106,129,-11
192206,104,-36
192306,133,-7
192406,196,56
192506,116,-24
192606,216,76
192706,231,91
192806,209,69
192906,132,-8
193006,44,-96
193106,130,-10
193206,140,0
193306,110,-30
193406,145,5
193506,136,-4
193606,115,-25
193706,114,-26
193806,75,-65
193906,153,13
194006,171,31
194106,93,-47
194206,97,-43
194306,116,-24
194406,141,1
194506,164,24
194606,135,-5
194706,190,50
194806,212,72
194906,72,-68
195006,125,-15
195106,170,30
195206,88,-52
195306,113,-27
195406,145,5
195506,127,-13
195606,142,2
195706,97,-43
195806,252,112
195906,221,81
196006,105,-35
196106,126,-14
196206,121,-19
196306,86,-54
196406,133,-7
196506,102,-38
196606,112,-28
196706,92,-48
196806,190,50
196906,110,-30
197006,121,-19
197106,109,-31
197206,154,14
197306,96,-44
197406,133,-7
197506,118,-22
197606,53,-87
197706,183,43
197806,133,-7
197906,113,-27
198006,166,26
198106,103,-37
198206,197,57
198306,88,-52
198406,119,-21
198506,182,42
198606,183,43
198706,115,-25
198806,124,-16
198906,106,-34
199006,118,-22
199106,85,-55
199206,117,-23
199306,126,-14
199406,65,-75
199506,74,-66
199606,109,-31
199706,105,-35
199806,160,20
199906,42,-98
200006,127,-13
200106,57,-83
200206,161,21
200306,103,-37
200406,184,44
200506,73,-67
200606,74,-66
200706,105,-35
200806,100,-40
200906,169,29
201006,106,-34
201106,131,-9
201206,133,-7
201306,97,-43
201406,96,-44
201506,195,55
