Mississippi, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,0,-4
189609,4,0
189709,0,-4
189809,0,-4
189909,6,2
190009,0,-4
190109,7,3
190209,7,3
190309,5,1
190409,0,-4
190509,1,-3
190609,0,-4
190709,1,-3
190809,2,-2
190909,2,-2
191009,0,-4
191109,0,-4
191209,0,-4
191309,3,-1
191409,3,-1
191509,0,-4
191609,4,0
191709,4,0
191809,16,12
191909,0,-4
192009,0,-4
192109,0,-4
192209,0,-4
192309,2,-2
192409,7,3
192509,0,-4
192609,0,-4
192709,0,-4
192809,7,3
192909,2,-2
193009,0,-4
193109,0,-4
193209,4,0
193309,0,-4
193409,4,0
193509,2,-2
193609,0,-4
193709,5,1
193809,2,-2
193909,0,-4
194009,7,3
194109,0,-4
194209,6,2
194309,8,4
194409,2,-2
194509,0,-4
194609,5,1
194709,1,-3
194809,7,3
194909,7,3
195009,7,3
195109,2,-2
195209,5,1
195309,2,-2
195409,0,-4
195509,0,-4
195609,6,2
195709,6,2
195809,2,-2
195909,1,-3
196009,1,-3
196109,3,-1
196209,2,-2
196309,5,1
196409,2,-2
196509,2,-2
196609,7,3
196709,20,16
196809,11,7
196909,6,2
197009,0,-4
197109,1,-3
197209,0,-4
197309,0,-4
197409,18,14
197509,15,11
197609,7,3
197709,0,-4
197809,0,-4
197909,7,3
198009,0,-4
198109,9,5
198209,7,3
198309,6,2
198409,7,3
198509,5,1
198609,0,-4
198709,4,0
198809,1,-3
198909,7,3
199009,0,-4
199109,3,-1
199209,6,2
199309,6,2
199409,7,3
199509,5,1
199609,7,3
199709,2,-2
199809,0,-4
199909,4,0
200009,2,-2
200109,6,2
200209,0,-4
200309,5,1
200409,4,0
200509,0,-4
200609,7,3
200709,0,-4
200809,4,0
200909,2,-2
201009,1,-3
201109,8,4
201209,4,0
201309,1,-3
201409,2,-2
201509,2,-2
