Montana, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1319,141
189602,1021,-157
189702,1234,56
189802,1044,-134
189902,1559,381
190002,1284,106
190102,1307,129
190202,1139,-39
190302,1355,177
190402,1344,166
190502,1358,180
190602,1086,-92
190702,1117,-61
190802,1161,-17
190902,1172,-6
191002,1421,243
191102,1354,176
191202,1114,-64
191302,1423,245
191402,1282,104
191502,1078,-100
191602,1229,51
191702,1351,173
191802,1272,94
191902,1285,107
192002,1161,-17
192102,1029,-149
192202,1531,353
192302,1374,196
192402,991,-187
192502,997,-181
192602,961,-217
192702,1191,13
192802,1204,26
192902,1481,303
193002,966,-212
193102,1015,-163
193202,1189,11
193302,1404,226
193402,984,-194
193502,1046,-132
193602,1801,623
193702,1337,159
193802,1286,108
193902,1393,215
194002,1156,-22
194102,1092,-86
194202,1316,138
194302,1114,-64
194402,1196,18
194502,1146,-32
194602,1107,-71
194702,1198,20
194802,1281,103
194902,1405,227
195002,1097,-81
195102,1179,1
195202,1178,0
195302,1056,-122
195402,910,-268
195502,1318,140
195602,1321,143
195702,1208,30
195802,1102,-76
195902,1349,171
196002,1267,89
196102,921,-257
196202,1214,36
196302,948,-230
196402,1111,-67
196502,1165,-13
196602,1199,21
196702,1042,-136
196802,1049,-129
196902,1285,107
197002,1022,-156
197102,1129,-49
197202,1164,-14
197302,1129,-49
197402,1006,-172
197502,1351,173
197602,1047,-131
197702,960,-218
197802,1258,80
197902,1294,116
198002,1113,-65
198102,1062,-116
198202,1252,74
198302,952,-226
198402,977,-201
198502,1315,137
198602,1201,23
198702,1009,-169
198802,1087,-91
198902,1512,334
199002,1145,-33
199102,874,-304
199202,909,-269
199302,1354,176
199402,1302,124
199502,1020,-158
199602,1165,-13
199702,1096,-82
199802,999,-179
199902,992,-186
200002,1033,-145
200102,1287,109
200202,1095,-83
200302,1183,5
200402,1089,-89
200502,1006,-172
200602,1162,-16
200702,1127,-51
200802,1075,-103
200902,1065,-113
201002,1131,-47
201102,1304,126
201202,1107,-71
201302,1045,-133
201402,1364,186
201502,998,-180
