North Dakota, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,2123,285
189601,1878,40
189701,1935,97
189801,1608,-230
189901,1893,55
190001,1554,-284
190101,1807,-31
190201,1664,-174
190301,1744,-94
190401,1934,96
190501,2005,167
190601,1676,-162
190701,2228,390
190801,1526,-312
190901,1925,87
191001,1771,-67
191101,2085,247
191201,2219,381
191301,1976,138
191401,1606,-232
191501,1873,35
191601,2251,413
191701,2015,177
191801,2092,254
191901,1487,-351
192001,1984,146
192101,1574,-264
192201,1849,11
192301,1768,-70
192401,2003,165
192501,1804,-34
192601,1562,-276
192701,1750,-88
192801,1661,-177
192901,2213,375
193001,2118,280
193101,1431,-407
193201,1766,-72
193301,1696,-142
193401,1576,-262
193501,1974,136
193601,2259,421
193701,2326,488
193801,1793,-45
193901,1633,-205
194001,1962,124
194101,1743,-95
194201,1496,-342
194301,2115,277
194401,1394,-444
194501,1685,-153
194601,1747,-91
194701,1563,-275
194801,1799,-39
194901,1997,159
195001,2390,552
195101,1975,137
195201,1979,141
195301,1642,-196
195401,2091,253
195501,1721,-117
195601,1866,28
195701,1992,154
195801,1500,-338
195901,1965,127
196001,1807,-31
196101,1682,-156
196201,1851,13
196301,1977,139
196401,1578,-260
196501,2007,169
196601,2217,379
196701,1715,-123
196801,1827,-11
196901,2124,286
197001,1992,154
197101,2044,206
197201,1965,127
197301,1589,-249
197401,1915,77
197501,1671,-167
197601,1741,-97
197701,2095,257
197801,2134,296
197901,2177,339
198001,1825,-13
198101,1531,-307
198201,2258,420
198301,1455,-383
198401,1644,-194
198501,1826,-12
198601,1500,-338
198701,1435,-403
198801,1814,-24
198901,1638,-200
199001,1354,-484
199101,1823,-15
199201,1422,-416
199301,1843,5
199401,2111,273
199501,1733,-105
199601,2032,194
199701,1981,143
199801,1705,-133
199901,1826,-12
200001,1659,-179
200101,1511,-327
200201,1507,-331
200301,1705,-133
200401,1919,81
200501,1838,0
200601,1238,-600
200701,1617,-221
200801,1750,-88
200901,1899,61
201001,1733,-105
201101,1850,12
201201,1414,-424
201301,1684,-154
201401,1790,-48
201501,1538,-300
