North Dakota, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1664,160
189602,1439,-65
189702,1645,141
189802,1460,-44
189902,1851,347
190002,1772,268
190102,1647,143
190202,1528,24
190302,1750,246
190402,1902,398
190502,1593,89
190602,1571,67
190702,1542,38
190802,1464,-40
190902,1566,62
191002,1749,245
191102,1640,136
191202,1532,28
191302,1633,129
191402,1831,327
191502,1361,-143
191602,1660,156
191702,1873,369
191802,1548,44
191902,1632,128
192002,1489,-15
192102,1300,-204
192202,1830,326
192302,1729,225
192402,1285,-219
192502,1409,-95
192602,1246,-258
192702,1468,-36
192802,1326,-178
192902,1773,269
193002,1248,-256
193102,1078,-426
193202,1491,-13
193302,1624,120
193402,1331,-173
193502,1179,-325
193602,2218,714
193702,1677,173
193802,1644,140
193902,1888,384
194002,1433,-71
194102,1534,30
194202,1462,-42
194302,1441,-63
194402,1535,31
194502,1438,-66
194602,1583,79
194702,1605,101
194802,1663,159
194902,1795,291
195002,1627,123
195102,1529,25
195202,1364,-140
195302,1333,-171
195402,1014,-490
195502,1646,142
195602,1629,125
195702,1498,-6
195802,1531,27
195902,1661,157
196002,1544,40
196102,1340,-164
196202,1647,143
196302,1468,-36
196402,1285,-219
196502,1593,89
196602,1617,113
196702,1639,135
196802,1524,20
196902,1489,-15
197002,1469,-35
197102,1484,-20
197202,1669,165
197302,1317,-187
197402,1465,-39
197502,1562,58
197602,1200,-304
197702,1242,-262
197802,1691,187
197902,1868,364
198002,1493,-11
198102,1263,-241
198202,1566,62
198302,1196,-308
198402,1095,-409
198502,1532,28
198602,1522,18
198702,1091,-413
198802,1516,12
198902,1754,250
199002,1342,-162
199102,1145,-359
199202,1160,-344
199302,1562,58
199402,1748,244
199502,1393,-111
199602,1440,-64
199702,1382,-122
199802,1057,-447
199902,1199,-305
200002,1208,-296
200102,1679,175
200202,1154,-350
200302,1596,92
200402,1401,-103
200502,1281,-223
200602,1433,-71
200702,1630,126
200802,1562,58
200902,1516,12
201002,1567,63
201102,1543,39
201202,1237,-267
201302,1387,-117
201402,1680,176
201502,1613,109
