Texas, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,574,35
189601,543,4
189701,655,116
189801,460,-79
189901,602,63
190001,479,-60
190101,436,-103
190201,575,36
190301,548,9
190401,578,39
190501,642,103
190601,526,-13
190701,317,-222
190801,478,-61
190901,402,-137
191001,485,-54
191101,344,-195
191201,664,125
191301,533,-6
191401,407,-132
191501,586,47
191601,438,-101
191701,472,-67
191801,748,209
191901,601,62
192001,610,71
192101,377,-162
192201,619,80
192301,319,-220
192401,680,141
192501,620,81
192601,636,97
192701,463,-76
192801,511,-28
192901,511,-28
193001,797,258
193101,522,-17
193201,475,-64
193301,358,-181
193401,460,-79
193501,414,-125
193601,599,60
193701,568,29
193801,464,-75
193901,451,-88
194001,834,295
194101,457,-82
194201,609,70
194301,534,-5
194401,549,10
194501,528,-11
194601,568,29
194701,581,42
194801,708,169
194901,652,113
195001,367,-172
195101,519,-20
195201,319,-220
195301,395,-144
195401,474,-65
195501,518,-21
195601,529,-10
195701,500,-39
195801,591,52
195901,621,82
196001,569,30
196101,666,127
196201,698,159
196301,732,193
196401,557,18
196501,440,-99
196601,685,146
196701,511,-28
196801,580,41
196901,456,-83
197001,671,132
197101,432,-107
197201,484,-55
197301,670,131
197401,536,-3
197501,446,-93
197601,546,7
197701,770,231
197801,789,250
197901,788,249
198001,487,-52
198101,540,1
198201,521,-18
198301,576,37
198401,662,123
198501,704,165
198601,448,-91
198701,551,12
198801,640,101
198901,396,-143
199001,382,-157
199101,602,63
199201,536,-3
199301,530,-9
199401,507,-32
199501,465,-74
199601,530,-9
199701,548,9
199801,389,-150
199901,396,-143
200001,390,-149
200101,587,48
200201,445,-94
200301,551,12
200401,438,-101
200501,393,-146
200601,328,-211
200701,604,65
200801,520,-19
200901,471,-68
201001,577,38
201101,559,20
201201,387,-152
201301,450,-89
201401,580,41
201501,586,47
