Utah, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,237,58
189606,124,-55
189706,204,25
189806,168,-11
189906,210,31
190006,104,-75
190106,224,45
190206,147,-32
190306,141,-38
190406,215,36
190506,183,4
190606,255,76
190706,317,138
190806,305,126
190906,152,-27
191006,129,-50
191106,168,-11
191206,175,-4
191306,190,11
191406,213,34
191506,248,69
191606,208,29
191706,221,42
191806,74,-105
191906,110,-69
192006,186,7
192106,133,-46
192206,112,-67
192306,244,65
192406,147,-32
192506,229,50
192606,120,-59
192706,168,-11
192806,225,46
192906,209,30
193006,169,-10
193106,102,-77
193206,194,15
193306,93,-86
193406,178,-1
193506,144,-35
193606,105,-74
193706,191,12
193806,139,-40
193906,202,23
194006,96,-83
194106,211,32
194206,204,25
194306,231,52
194406,265,86
194506,306,127
194606,146,-33
194706,256,77
194806,175,-4
194906,208,29
195006,211,32
195106,252,73
195206,175,-4
195306,177,-2
195406,207,28
195506,207,28
195606,129,-50
195706,182,3
195806,129,-50
195906,111,-68
196006,130,-49
196106,88,-91
196206,183,4
196306,231,52
196406,239,60
196506,233,54
196606,168,-11
196706,257,78
196806,178,-1
196906,236,57
197006,179,0
197106,179,0
197206,144,-35
197306,177,-2
197406,111,-68
197506,257,78
197606,207,28
197706,89,-90
197806,173,-6
197906,164,-15
198006,178,-1
198106,137,-42
198206,204,25
198306,208,29
198406,226,47
198506,133,-46
198606,93,-86
198706,124,-55
198806,78,-101
198906,183,4
199006,131,-48
199106,176,-3
199206,155,-24
199306,251,72
199406,89,-90
199506,256,77
199606,105,-74
199706,146,-33
199806,273,94
199906,177,-2
200006,121,-58
200106,120,-59
200206,103,-76
200306,151,-28
200406,144,-35
200506,224,45
200606,97,-82
200706,101,-78
200806,170,-9
200906,218,39
201006,165,-14
201106,206,27
201206,102,-77
201306,96,-83
201406,156,-23
201506,66,-113
