Utah, Heating Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,59,2
189608,73,16
189708,58,1
189808,29,-28
189908,120,63
190008,85,28
190108,34,-23
190208,71,14
190308,53,-4
190408,66,9
190508,47,-10
190608,72,15
190708,96,39
190808,96,39
190908,46,-11
191008,66,9
191108,66,9
191208,91,34
191308,47,-10
191408,54,-3
191508,48,-9
191608,80,23
191708,72,15
191808,82,25
191908,41,-16
192008,67,10
192108,69,12
192208,38,-19
192308,82,25
192408,68,11
192508,81,24
192608,54,-3
192708,82,25
192808,78,21
192908,36,-21
193008,52,-5
193108,41,-16
193208,62,5
193308,69,12
193408,30,-27
193508,42,-15
193608,42,-15
193708,35,-22
193808,48,-9
193908,49,-8
194008,31,-26
194108,65,8
194208,54,-3
194308,41,-16
194408,62,5
194508,55,-2
194608,43,-14
194708,66,9
194808,56,-1
194908,57,0
195008,78,21
195108,73,16
195208,48,-9
195308,59,2
195408,69,12
195508,38,-19
195608,88,31
195708,47,-10
195808,28,-29
195908,59,2
196008,66,9
196108,35,-22
196208,68,11
196308,40,-17
196408,72,15
196508,92,35
196608,60,3
196708,37,-20
196808,135,78
196908,27,-30
197008,29,-28
197108,31,-26
197208,60,3
197308,52,-5
197408,77,20
197508,93,36
197608,91,34
197708,54,-3
197808,77,20
197908,63,6
198008,72,15
198108,37,-20
198208,33,-24
198308,36,-21
198408,48,-9
198508,56,-1
198608,33,-24
198708,73,16
198808,43,-14
198908,62,5
199008,48,-9
199108,36,-21
199208,37,-20
199308,86,29
199408,21,-36
199508,31,-26
199608,32,-25
199708,40,-17
199808,33,-24
199908,48,-9
200008,19,-38
200108,21,-36
200208,43,-14
200308,23,-34
200408,73,16
200508,55,-2
200608,54,-3
200708,25,-32
200808,37,-20
200908,64,7
201008,56,-1
201108,30,-27
201208,21,-36
201308,33,-24
201408,77,20
201508,40,-17
