Washington, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,516,-6
189604,618,96
189704,462,-60
189804,519,-3
189904,572,50
190004,459,-63
190104,586,64
190204,548,26
190304,596,74
190404,451,-71
190504,468,-54
190604,427,-95
190704,560,38
190804,517,-5
190904,584,62
191004,497,-25
191104,604,82
191204,545,23
191304,528,6
191404,462,-60
191504,417,-105
191604,519,-3
191704,606,84
191804,515,-7
191904,499,-23
192004,635,113
192104,582,60
192204,612,90
192304,493,-29
192404,551,29
192504,473,-49
192604,360,-162
192704,570,48
192804,554,32
192904,610,88
193004,432,-90
193104,472,-50
193204,492,-30
193304,549,27
193404,343,-179
193504,573,51
193604,449,-73
193704,573,51
193804,475,-47
193904,456,-66
194004,446,-76
194104,419,-103
194204,471,-51
194304,452,-70
194404,508,-14
194504,594,72
194604,533,11
194704,459,-63
194804,613,91
194904,489,-33
195004,594,72
195104,493,-29
195204,507,-15
195304,554,32
195404,603,81
195504,661,139
195604,486,-36
195704,491,-31
195804,524,2
195904,511,-11
196004,516,-6
196104,557,35
196204,477,-45
196304,558,36
196404,603,81
196504,503,-19
196604,517,-5
196704,630,108
196804,583,61
196904,540,18
197004,618,96
197104,565,43
197204,640,118
197304,535,13
197404,540,18
197504,644,122
197604,551,29
197704,458,-64
197804,523,1
197904,531,9
198004,446,-76
198104,529,7
198204,612,90
198304,513,-9
198404,560,38
198504,515,-7
198604,571,49
198704,430,-92
198804,489,-33
198904,433,-89
199004,439,-83
199104,535,13
199204,438,-84
199304,512,-10
199404,443,-79
199504,516,-6
199604,476,-46
199704,538,16
199804,499,-23
199904,554,32
200004,460,-62
200104,560,38
200204,536,14
200304,528,6
200404,414,-108
200504,477,-45
200604,504,-18
200704,520,-2
200804,640,118
200904,546,24
201004,530,8
201104,652,130
201204,495,-27
201304,528,6
201404,487,-35
201504,500,-22
